Track circuit,Description,ID,State,Last locked for Route
TC181,TC181: Paths = P410 P411,null,CLEAR,
TC182,TC182: Paths = P1146 P1145,null,CLEAR,
TC183,TC183: Paths = P1196 P1195 P624,null,CLEAR,
TC184,TC184: Paths = P625,null,CLEAR,
TC185,TC185: Paths = P1197 P1198 P627,null,CLEAR,
TC186,TC186: Paths = P412 P424,null,CLEAR,
TC187,TC187: Paths = P432 P433,null,CLEAR,
TC188,TC188: Paths = P1200 P1199 P628,null,CLEAR,
TC189,TC189: Paths = P414 P402 P2867,null,CLEAR,
TC190,TC190: Paths = P415 P427 P428 P408 P405 P425,null,CLEAR,
TC191,TC191: Paths = P416 P407 P406 P430 P429 P399 P2810 P2817 P2846,null,CLEAR,
TC192,TC192: Paths = P417 P1096 P423,null,CLEAR,
TC193,TC193: Paths = P418 P626,null,CLEAR,
TC194,TC194: Paths = P419 P422 P431 P440,null,CLEAR,
TC195,TC195: Paths = P420 P421,null,CLEAR,
TC196,TC196: Paths = P438,null,CLEAR,
TC197,TC197: Paths = P622,null,CLEAR,
TC198,TC198: Paths = P426 P629,null,CLEAR,
TC199,TC199: Paths = P444 P445 P403 P449 P450 P574 P575 P476,null,CLEAR,
TC200,TC200: Paths = P435,null,CLEAR,
TC201,TC201: Paths = P434 P413 P401 P400 P2868,null,CLEAR,
TC202,TC202: Paths = P519,null,CLEAR,
TC203,TC203: Paths = P1155 P1156 P556 P1151 P1152 P578 P579 P521,null,CLEAR,
TC204,TC204: Paths = P1147 P1148,null,CLEAR,
TC205,TC205: Paths = P1201 P1202 P630,null,CLEAR,
TC206,TC206: Paths = P1106 P1107 P1102 P1103,null,CLEAR,
TC207,TC207: Paths = P439 P446 P1125 P1126,null,CLEAR,
TC208,TC208: Paths = P442,null,CLEAR,
TC209,TC209: Paths = P631,null,CLEAR,
TC210,TC210: Paths = P441 P447 P448 P404 P514,null,CLEAR,
TC211,TC211: Paths = P1203 P1204 P443,null,CLEAR,
TC212,TC212: Paths = P1097,null,CLEAR,
TC213,TC213: Paths = P1124,null,CLEAR,
TC214,TC214: Paths = P550 P549 P507,null,CLEAR,
TC215,TC215: Paths = P632,null,CLEAR,
TC216,TC216: Paths = P1205 P1206 P634,null,CLEAR,
TC217,TC217: Paths = P468,null,CLEAR,
TC218,TC218: Paths = P1123 P1122,null,CLEAR,
TC219,TC219: Paths = P1208 P1207 P635,null,CLEAR,
TC220,TC220: Paths = P640,null,CLEAR,
TC221,TC221: Paths = P1209 P1210 P642,null,CLEAR,
TC222,TC222: Paths = P469 P1094 P633,null,CLEAR,
TC223,TC223: Paths = P470,null,CLEAR,
TC224,TC224: Paths = P1212 P1211 P643,null,CLEAR,
TC225,TC225: Paths = P644,null,CLEAR,
TC226,TC226: Paths = P1213 P1214 P646,null,CLEAR,
TC227,TC227: Paths = P471 P566 P565 P647,null,CLEAR,
TC228,TC228: Paths = P1116,null,CLEAR,
TC229,TC229: Paths = P472 P641,null,CLEAR,
TC230,TC230: Paths = P636,null,CLEAR,
TC231,TC231: Paths = P1215 P1216 P638,null,CLEAR,
TC232,TC232: Paths = P473 P571 P570,null,CLEAR,
TC233,TC233: Paths = P1117,null,CLEAR,
TC234,TC234: Paths = P474 P451 P515,null,CLEAR,
TC235,TC235: Paths = P475 P576 P577 P453 P518,null,CLEAR,
TC236,TC236: Paths = P477 P452 P516,null,CLEAR,
TC237,TC237: Paths = P478 P1150 P1149 P555 P1154 P1153 P580 P517,null,CLEAR,
TC238,TC238: Paths = P479 P520,null,CLEAR,
TC239,TC239: Paths = P480 P455 P583 P584 P525,null,CLEAR,
TC240,TC240: Paths = P522,null,CLEAR,
TC241,TC241: Paths = P481 P454 P582 P581,null,CLEAR,
TC242,TC242: Paths = P482 P523,null,CLEAR,
TC243,TC243: Paths = P483 P526,null,CLEAR,
TC244,TC244: Paths = P484 P587 P588 P529,null,CLEAR,
TC245,TC245: Paths = P485 P586 P585 P524,null,CLEAR,
TC246,TC246: Paths = P486 P527,null,CLEAR,
TC247,TC247: Paths = P487 P456 P530,null,CLEAR,
